procs, 1, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    102.4, secs, 14.65
procs, 2, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    98.36, secs, 15.25
procs, 3, units, 50, cons, 12500, MCons, 1500, Mcon/sec,     83.1, secs, 18.05
procs, 4, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    86.56, secs, 17.33
procs, 8, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    74.63, secs, 20.1
procs, 1, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    77.36, secs, 19.39
procs, 2, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    112.8, secs, 13.3
procs, 3, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    121.4, secs, 12.36
procs, 4, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    150.8, secs, 9.95
procs, 8, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    158.4, secs, 9.47
procs, 1, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    82.95, secs, 17.36
procs, 2, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    119.5, secs, 12.05
procs, 3, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    138.7, secs, 10.38
procs, 4, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    149.8, secs, 9.61
procs, 8, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    197.5, secs, 7.29
procs, 1, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    72.01, secs, 20.83
procs, 2, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    124.6, secs, 12.04
procs, 3, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    152.9, secs, 9.81
procs, 4, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      179, secs, 8.38
procs, 8, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    226.2, secs, 6.63
