procs, 1, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    103.2, secs, 14.54
procs, 2, units, 50, cons, 12500, MCons, 1500, Mcon/sec,     97.4, secs, 15.4
procs, 3, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    82.42, secs, 18.2
procs, 4, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    84.75, secs, 17.7
procs, 8, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    72.92, secs, 20.57
procs, 1, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    107.9, secs, 13.9
procs, 2, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    141.6, secs, 10.59
procs, 3, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    144.1, secs, 10.41
procs, 4, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    161.3, secs, 9.3
procs, 8, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    168.5, secs, 8.9
procs, 1, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    115.8, secs, 12.43
procs, 2, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    163.6, secs, 8.8
procs, 3, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    184.9, secs, 7.79
procs, 4, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    204.3, secs, 7.05
procs, 8, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    243.2, secs, 5.92
procs, 1, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    97.21, secs, 15.43
procs, 2, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    164.1, secs, 9.14
procs, 3, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    199.7, secs, 7.51
procs, 4, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    225.9, secs, 6.64
procs, 8, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    274.2, secs, 5.47
