procs, 1, units, 50, cons, 12500, MCons, 1500, Mcon/sec,     88.8, secs, 16.9
procs, 2, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      157, secs, 9.54
procs, 3, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      182, secs, 8.26
procs, 4, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      250, secs, 5.99
procs, 8, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      283, secs, 5.3
procs, 1, units, 100, cons, 50000, MCons, 1500, Mcon/sec,     50.9, secs, 29.46
procs, 2, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    90.96, secs, 16.49
procs, 3, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    112.1, secs, 13.38
procs, 4, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    141.9, secs, 10.57
procs, 8, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      188, secs, 7.98
procs, 1, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    57.14, secs, 25.2
procs, 2, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    105.3, secs, 13.68
procs, 3, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    130.6, secs, 11.03
procs, 4, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    167.4, secs, 8.6
procs, 8, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    221.2, secs, 6.51
procs, 1, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    43.72, secs, 34.31
procs, 2, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    82.87, secs, 18.1
procs, 3, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    102.2, secs, 14.68
procs, 4, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    131.6, secs, 11.4
procs, 8, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    181.2, secs, 8.28
