procs, 1,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 25.22,    mpisecs, 25.2182,       Mcon/sec, 79.3021
procs, 2,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 22.9,     mpisecs, 22.889,        Mcon/sec, 87.3362
procs, 4,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 28.94,    mpisecs, 28.9363,       Mcon/sec, 69.1085
procs, 8,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 34.85,    mpisecs, 34.839,        Mcon/sec, 57.3888
procs, 16,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 41.94,    mpisecs, 41.9379,       Mcon/sec, 47.6872
procs, 25,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 50.97,    mpisecs, 50.9597,       Mcon/sec, 39.2388
procs, 1,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 24.2,     mpisecs, 24.2072,       Mcon/sec, 82.6446
procs, 2,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 15.81,    mpisecs, 15.8088,       Mcon/sec, 126.502
procs, 4,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 13.1,     mpisecs, 13.0963,       Mcon/sec, 152.672
procs, 8,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 12.88,    mpisecs, 12.8762,       Mcon/sec, 155.28
procs, 16,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 13.6,     mpisecs, 13.5996,       Mcon/sec, 147.059
procs, 25,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 15.59,    mpisecs, 15.5949,       Mcon/sec, 128.287
procs, 1,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 26.35,    mpisecs, 26.3485,       Mcon/sec, 75.9013
procs, 2,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 13.65,    mpisecs, 13.6516,       Mcon/sec, 146.52
procs, 4,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 7.37,     mpisecs, 7.36985,       Mcon/sec, 271.37
procs, 8,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 4.27,     mpisecs, 4.26944,       Mcon/sec, 468.384
procs, 16,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 2.62,     mpisecs, 2.61512,       Mcon/sec, 763.359
procs, 25,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 2.2,      mpisecs, 2.19773,       Mcon/sec, 909.091
procs, 1,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 25.6,     mpisecs, 25.5977,       Mcon/sec, 78.125
procs, 2,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 13.09,    mpisecs, 13.088,        Mcon/sec, 152.788
procs, 4,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 6.8,      mpisecs, 6.79572,       Mcon/sec, 294.118
procs, 8,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 3.65,     mpisecs, 3.6549,        Mcon/sec, 547.945
procs, 16,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 2.07,     mpisecs, 2.07243,       Mcon/sec, 966.184
procs, 25,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 1.53,     mpisecs, 1.53171,       Mcon/sec, 1307.19
procs, 1,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 26.52,    mpisecs, 26.5174,       Mcon/sec, 75.4148
procs, 2,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 13.42,    mpisecs, 13.4163,       Mcon/sec, 149.031
procs, 4,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 6.78,     mpisecs, 6.77171,       Mcon/sec, 294.985
procs, 8,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 3.51,     mpisecs, 3.50896,       Mcon/sec, 569.801
procs, 16,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.85,     mpisecs, 1.84237,       Mcon/sec, 1081.08
procs, 25,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.22,     mpisecs, 1.21441,       Mcon/sec, 1639.34

