procs, 1,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 25.15,    mpisecs, 25.1508,       Mcon/sec, 79.5229
procs, 2,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 22.9,     mpisecs, 22.8962,       Mcon/sec, 87.3362
procs, 4,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 28.93,    mpisecs, 28.9276,       Mcon/sec, 69.1324
procs, 8,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 34.75,    mpisecs, 34.7448,       Mcon/sec, 57.554
procs, 16,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 42.36,    mpisecs, 42.3566,       Mcon/sec, 47.2144
procs, 25,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 51.12,    mpisecs, 51.114,        Mcon/sec, 39.1236
procs, 1,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 24.39,    mpisecs, 24.3894,       Mcon/sec, 82.0008
procs, 2,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 15.83,    mpisecs, 15.8337,       Mcon/sec, 126.342
procs, 4,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 13.09,    mpisecs, 13.0879,       Mcon/sec, 152.788
procs, 8,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 12.97,    mpisecs, 12.9609,       Mcon/sec, 154.202
procs, 16,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 13.8,     mpisecs, 13.7911,       Mcon/sec, 144.928
procs, 25,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 15.57,    mpisecs, 15.5684,       Mcon/sec, 128.452
procs, 1,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 26.28,    mpisecs, 26.2785,       Mcon/sec, 76.1035
procs, 2,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 13.6,     mpisecs, 13.5968,       Mcon/sec, 147.059
procs, 4,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 7.36,     mpisecs, 7.35527,       Mcon/sec, 271.739
procs, 8,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 4.19,     mpisecs, 4.18889,       Mcon/sec, 477.327
procs, 16,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 2.7,      mpisecs, 2.69923,       Mcon/sec, 740.741
procs, 25,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 2.16,     mpisecs, 2.15253,       Mcon/sec, 925.926
procs, 1,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 25.65,    mpisecs, 25.6476,       Mcon/sec, 77.9727
procs, 2,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 12.98,    mpisecs, 12.9758,       Mcon/sec, 154.083
procs, 4,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 6.78,     mpisecs, 6.77617,       Mcon/sec, 294.985
procs, 8,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 3.65,     mpisecs, 3.65186,       Mcon/sec, 547.945
procs, 16,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 2.08,     mpisecs, 2.07856,       Mcon/sec, 961.538
procs, 25,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 1.53,     mpisecs, 1.53137,       Mcon/sec, 1307.19
procs, 1,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 26.54,    mpisecs, 26.5343,       Mcon/sec, 75.358
procs, 2,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 13.46,    mpisecs, 13.4665,       Mcon/sec, 148.588
procs, 4,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 6.81,     mpisecs, 6.80409,       Mcon/sec, 293.686
procs, 8,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 3.49,     mpisecs, 3.48402,       Mcon/sec, 573.066
procs, 16,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.84,     mpisecs, 1.84075,       Mcon/sec, 1086.96
procs, 25,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.2,      mpisecs, 1.20348,       Mcon/sec, 1666.67
