procs, 1,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 25.74,    Mcon/sec, 77.7001
procs, 2,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 24.35,    Mcon/sec, 82.1355
procs, 4,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 28.44,    Mcon/sec, 70.3235
procs, 8,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 34.1,     Mcon/sec, 58.651
procs, 16,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 41.12,    Mcon/sec, 48.6381
procs, 25,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 56.84,    Mcon/sec, 35.1865
procs, 1,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 24.87,    Mcon/sec, 80.4182
procs, 2,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 15.97,    Mcon/sec, 125.235
procs, 4,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 13.04,    Mcon/sec, 153.374
procs, 8,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 12.6,     Mcon/sec, 158.73
procs, 16,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 13.39,    Mcon/sec, 149.365
procs, 25,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 16.92,    Mcon/sec, 118.203
procs, 1,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 26.47,    Mcon/sec, 75.5572
procs, 2,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 13.78,    Mcon/sec, 145.138
procs, 4,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 7.37,     Mcon/sec, 271.37
procs, 8,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 4.16,     Mcon/sec, 480.769
procs, 16,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 2.63,     Mcon/sec, 760.456
procs, 25,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 2.22,     Mcon/sec, 900.901
procs, 1,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 25.68,    Mcon/sec, 77.8816
procs, 2,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 13.09,    Mcon/sec, 152.788
procs, 4,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 6.8,      Mcon/sec, 294.118
procs, 8,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 3.63,     Mcon/sec, 550.964
procs, 16,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 2.11,     Mcon/sec, 947.867
procs, 25,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 1.54,     Mcon/sec, 1298.7
procs, 1,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 26.6,     Mcon/sec, 75.188
procs, 2,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 13.52,    Mcon/sec, 147.929
procs, 4,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 6.8,      Mcon/sec, 294.118
procs, 8,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 3.55,     Mcon/sec, 563.38
procs, 16,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.81,     Mcon/sec, 1104.97
procs, 25,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.23,     Mcon/sec, 1626.02
